guid,word,specification term,translation,picture,pronunciation sound,ipa transcription,article,article pronunciation,gender,pos,order,example sentence(s),example sentence(s) deletion,notes,test spelling?,tags
uu3X3,subtle,,,,,,,,,,,,,,,
f#h(3>}T&i,ant,,,,[sound:ipa_voc_da_ant3.mp3],/ænt/ ,,,,,,,,,,
IW?-C!3pO:,aunt,,,,[sound:ipa_voc_da_aunt1.mp3],/ɑ(ː)nt/ (uk) /ænt/ (us),,,,,,,,,,
u}nLZ/`j7K,recipe,,,,[sound:ipa_voc_da_recipe1.mp3],/ˈɹɛs.ɪ.pi/ ,,,,,,,,,,
m;G2zZjrpC,receipt,,,,[sound:ipa_voc_da_receipt2.mp3],/ɹɪˈsiːt/ ,,,,,,,,,,
JDV!}[))/N,patience,,,,[sound:ipa_voc_da_patience0.mp3],/ˈpeɪʃəns/ ,,,,,,,,,,
l>(i9yn{f>,Crack a joke,,,,,,,,,,,,,,,
ja`Sqm<$zR,Hardship,,,,,,,,,,,,,,,
O0@6OLLO0e,Have it coming,,,,,,,,,,,,,,,
r4##KhKfPl,Schmuck,,,,,,,,,,,,,,,
okzB2[dh%l,He's toast,,,,,,,,,,,,,,,
jVqa{*z^H%,Perky,,,,,,,,,,,,,,,
yL<A9<<jmd,Thump,,,,,,,,,,,,,,,
AnIso|0uX4,Never can tell,,,,,,,,,,,,,,,
k#JsTnuU$7,Fray,,,,,,,,,,,,,,,
ov);~KP:n),Pounding,,,,,,,,,,,,,,,
B&w;6!-d|6,Hideous,,,,,,,,,,,,,,,
Q+(MwG;%3i,Infamous,,,,,,,,,,,,,,,
QeC&-7(Sd`,Ruthless,,,,,,,,,,,,,,,
q$$4RIF7MR,See fit,,,,,,,,,,,,,,,
Q{/FI~!$N=,Goon,,,,,,,,,,,,,,,
fcHL?~([4*,overindulge,,,,,,,,,,,,,,,
