guid,word,specification term,translation,picture,pronunciation sound,ipa transcription,article,article pronunciation,gender,pos,order,example sentence(s),notes,test spelling?,tags
LxA8,future,,,,[sound:ipa_voc_da_future1.ogg],/ˈfjuːtʃə/,,,,,,,,y,
@Z}qM,taught,,,,[sound:ipa_voc_da_taught0.ogg],/tɔːt/,,,,,,,,y,
#6t38,thought,,,,[sound:ipa_voc_da_thought2.ogg],/θɔːt/,,,,,,,,y,
X%DTI,definitely ,,,,[sound:ipa_voc_da_definitely 0.ogg],/ˈdɛf.ɪnɪt.li/,the,,,,,,,y,
_?cz4,tough,,,,[sound:ipa_voc_da_tough0.ogg],/tʌf/,,,,,,,,y,
ng0RO,depth,,,,[sound:ipa_voc_da_depth1.ogg],/dɛpθ/,,,,,,,,y,
Mw8LH,doubt,,,,[sound:ipa_voc_da_doubt0.ogg],/daʊt/,,,,,,,,y,
"!n,HL",question,,,,[sound:ipa_voc_da_question0.ogg],/ˈkwɛstʃən/,,,,,,,,y,
M)KZ5,were,,,,[sound:ipa_voc_da_were1 (1).ogg],/wɜː(ɹ)/,,,,,,,,y,
sX_pE,where,,,,[sound:ipa_voc_da_where1.ogg],/ʍɛə(ɹ)/,,,,,,,,y,
"fiZ,R",further,,,,[sound:ipa_voc_da_further0 (1).ogg],/fɜː(r)ðə(r)/,,,,,,,,y,
F%/b2,father,,,,[sound:ipa_voc_da_father3 (1).ogg],/ˈfɑðɚ/,,,,,,,,y,
ZigwA,whether,,,,[sound:ipa_voc_da_whether1 (1).ogg],/ˈwɛðə(ɹ)/,,,,,,,,y,
4h<TE,weather,,,,[sound:ipa_voc_da_weather0.ogg],/ˈwɛðɚ/,,,,,,,,y,
M4J27,worsen,,,,[sound:ipa_voc_da_worsen0 (1).ogg],-ɜː(r)sən,,,,,,,,y,
it$!R,however,,,,[sound:ipa_voc_da_however0.ogg],/hɑʊˈɛvə/,,,,,,,,y,
@q`r9,sword,,,,[sound:ipa_voc_da_sword2.ogg],/sɔɹd/,,,,,,,,y,
":,{CF",calm,,,,[sound:ipa_voc_da_calm0.ogg],/kɑːm/,,,,,,,,y,
{/;tP,towards,,,,[sound:ipa_voc_da_towards2.ogg],/təˈwɔːdz/ ,,,,,,,,,
T2PJ7,afterwards,,,,[sound:ipa_voc_da_afterwards3.ogg],/ˈɑːftəwədz/ ,,,,,,,,,
DwsfM,foreign,,,,[sound:ipa_voc_da_foreign2.ogg],/ˈfɒɹən/ ,,,,,,,,,
MHP[R,hear,,,,[sound:ipa_voc_da_hear2.ogg],/hɪə(ɹ)/ ,,,,,,,,,
!V;&3,ear,,,,[sound:ipa_voc_da_ear1.ogg],/ɪə̯/ ,,,,,,,,,
"nl<,A",earn,,,,[sound:ipa_voc_da_earn2.ogg],/ɜːn/ ,,,,,,,,,
e+/#A,mayor,,,,[sound:ipa_voc_da_mayor0.ogg],/ˈmɛə/ ,,,,,,,,,
J.IgN,parliamentary,,,,[sound:ipa_voc_da_parliamentary0.ogg],,,,,,,,,,
3L4YJ,tongue,,,,[sound:ipa_voc_da_tongue1.ogg],/ˈtɒŋ/ ,,,,,,,,,
St<vL,tuesday,,,,[sound:ipa_voc_da_tuesday1.ogg],,,,,,,,,,
.njdK,psychologist,,,,[sound:ipa_voc_da_psychologist0.ogg],/ˌsaɪˈkɑl.ə.d͡ʒɪst/ ,,,,,,,,,
n.D@J,applause,,,,[sound:ipa_voc_da_applause0.ogg],/əˈplɔːz/ ,,,,,,,,,
.C2u1,particular,,,,[sound:ipa_voc_da_particular2.ogg],/pɚˈtɪkjəlɚ/ ,,,,,,,,,
?i-$A,word,,,,[sound:ipa_voc_da_word2.ogg],/wɜː(ɹ)d/ ,,,,,,,,,
@*:.U,world,,,,[sound:ipa_voc_da_world1.ogg],/wɜːld/ ,,,,,,,,,
nm+IL,mole,,,,[sound:ipa_voc_da_mole4.ogg],/məʊl/ ,,,,,,,,,
7xcB6,mall,,,,[sound:ipa_voc_da_mall1.ogg],/mɔːl/ ,,,,,,,,,
Su9%B,bear,,,,[sound:ipa_voc_da_bear0.ogg],/bɛə(ɹ)/ ,,,,,,,,,
"[Ca,N",beard,,,,[sound:ipa_voc_da_beard3.ogg],/bɪəd/ ,,,,,,,,,
Yp<m7,beer,,,,[sound:ipa_voc_da_beer0.ogg],/bɪə/ ,,,,,,,,,
zY+K2,walk,,,,[sound:ipa_voc_da_walk0.ogg],/wɔːk/ ,,,,,,,,,
}sGV6,work,,,,[sound:ipa_voc_da_work3.ogg],/wɜːk/ ,,,,,,,,,
=@xrA,event,,,,[sound:ipa_voc_da_event0.ogg],/ɪˈvɛnt/ ,,,,,,,,,
5=rgP,listen,,,,[sound:ipa_voc_da_listen2.mp3],/ˈlɪs.ən/ ,,,,,,,,,
uU.M8,anxiety,,,,[sound:ipa_voc_da_anxiety1.mp3],/ˌæŋ(ɡ)ˈzaɪ.ə.ti/ ,,,,,,,,,
",:t5D",tire,,,,[sound:ipa_voc_da_tire3.mp3],/ˈtaɪ̯ə(ɹ)/ ,,,,,,,,,
w?)1T,tyre,,,,[sound:ipa_voc_da_tyre0.mp3],/taɪə(ɹ)/ ,,,,,,,,,
)T]U6,air,,,,[sound:ipa_voc_da_air1.mp3],/ɛə/ ,,,,,,,,,
}9o2S,hair,,,,[sound:ipa_voc_da_hair2.mp3],/hɛə/ ,,,,,,,,,
#r`o4,heir,,,,[sound:ipa_voc_da_heir4.mp3],/ɛə(ɹ)/ ,,,,,,,,,
^ev6I,angry,,,,[sound:ipa_voc_da_angry1.mp3],/ˈæŋ.ɡri/ ,,,,,,,,,
"nA,iv8Kp~e",yeast,,,,[sound:ipa_voc_da_yeast0.mp3],/jiːst/ ,,,,,,,,,
UR&tN,genre,,,,[sound:ipa_voc_da_genre4.mp3],/(d)ʒɒnɹə/ ,,,,,,,,,
di4!O,hitherto,,Up to this or that time,,[sound:ipa_voc_da_Hitherto1.mp3],/ˈhɪðə(ɹ)ˌtuː/,,,,,,,,,
y80u8,inheritance,,,,[sound:ipa_voc_da_inheritance0.mp3],/ɪnˈhɛɹətəns/ ,,,,,,,,,
ER3L8,hierarchy,,,,[sound:ipa_voc_da_Hierarchy1.mp3],/ˈhaɪə.ɹɑː.kɪ/,,,,,,,,,
